date,Y1,Y2,Y3,Y4,Y5
2000-01-01,-0.24144539,2.2264848,-4.671454,0.5088118,-3.6445184
2000-01-02,-0.5312323,0.2760358,-2.7081647,0.1136314,-3.1113257
2000-01-03,-1.7944129,-1.501785,-1.3380003,-2.0302093,-2.5791976
2000-01-04,0.768009,-2.5285919,-0.67023826,-0.35370517,-1.560335
2000-01-05,1.0648879,0.0060307314,0.7110062,-0.21386468,-0.49342635
2000-01-06,-0.8801208,-1.0748255,2.0983057,-0.7873528,1.0695019
2000-01-07,-2.5841599,-0.77960885,1.5128309,0.6822624,0.9065296
2000-01-08,-0.5337306,-0.54432076,-0.49911255,0.35565308,-0.6296118
2000-01-09,-1.2867961,-1.670713,0.84910077,0.46567345,-0.27904853
2000-01-10,-1.4542449,-1.6147265,-0.27763668,1.7988379,1.8464966
2000-01-11,-1.6274598,-1.6987386,-0.6319842,1.43989,1.6528895
2000-01-12,-0.7781971,-1.7067714,0.49944115,1.1514581,0.0555438
2000-01-13,-1.4837205,0.721197,-0.20393164,1.6717755,1.8226572
2000-01-14,0.13665913,0.6195496,-0.46267486,1.1193041,-0.5340687
2000-01-15,-1.0993137,0.57707006,0.23087384,1.2692716,-0.96524423
2000-01-16,-2.1335354,0.4131988,-1.115567,2.9842024,0.8370036
2000-01-17,-2.194978,2.499657,-1.824879,2.4522414,-0.26602015
2000-01-18,-1.9744128,2.3061712,-1.5112939,2.5049956,-0.9934086
2000-01-19,-1.9733692,3.1337245,-1.4993541,1.754607,0.32451168
2000-01-20,0.083936624,2.0967712,-3.8897262,1.6433547,-1.2262218
2000-01-21,0.7090074,4.732607,-2.4021852,0.9330531,0.10543798
2000-01-22,1.6229835,5.6134486,-2.1554453,1.2763972,-0.67727625
2000-01-23,2.156437,2.723977,-2.9711666,1.7164595,-1.7223196
2000-01-24,2.4978032,1.5024225,-2.0602496,2.4899967,-1.0039628
2000-01-25,1.9920954,2.8151076,0.86311954,0.19515787,-1.2383238
2000-01-26,0.5235305,0.62010384,-0.39026535,2.0423133,-3.0831792
2000-01-27,0.6753415,1.0198572,-0.9663818,-0.046518218,1.7507597
2000-01-28,1.8810247,1.1575475,0.20599474,-0.6371044,-0.5440211
2000-01-29,1.6375313,0.23748279,0.61710626,-1.5918621,0.54864305
2000-01-30,2.3132963,-1.796235,1.2930423,-1.3331356,-0.866452
2000-01-31,2.2721028,0.11227383,2.6563237,0.4401833,0.8439613
2000-02-01,1.933987,-0.42468724,0.8099713,0.40439492,1.0796368
2000-02-02,2.9271812,-1.4053036,2.5019991,0.64647037,0.6013395
2000-02-03,0.681088,-0.20576252,2.6127424,0.053045508,0.6774987
2000-02-04,1.0351839,0.32508036,1.1785376,-0.083282016,1.8863659
2000-02-05,0.9473508,3.1704955,1.1912313,-1.8135339,0.05393206
2000-02-06,-0.35131136,4.9960866,-1.4228507,-0.93588054,-1.8180413
2000-02-07,1.4491748,4.0337873,-4.3714843,-0.72160655,-1.8663847
2000-02-08,0.054311924,2.319591,-1.9862732,-1.732655,-3.3031068
2000-02-09,-0.46573225,2.5646873,-2.2097988,-1.1002196,-2.450524
2000-02-10,0.89199835,1.6500224,-3.0427125,-1.9983996,-3.0398524
2000-02-11,1.3118683,0.03875131,-1.143042,-0.3197461,-1.8187789
2000-02-12,0.75581986,-1.3070551,2.4190886,0.6757001,-0.20120254
2000-02-13,2.9832325,-2.444941,1.8441688,-0.23741743,1.3294864
2000-02-14,2.8754466,-1.6248177,3.3319,-1.0237827,-0.30214646
2000-02-15,3.393849,-0.668916,5.286764,-0.0069256187,-0.6026057
2000-02-16,4.01695,0.74904025,4.031146,0.50800997,2.9004636
2000-02-17,1.6874499,-0.8170104,3.242086,0.19843838,1.8929472
2000-02-18,-0.41184717,-0.7140665,2.717009,-0.5064034,-0.18913183
2000-02-19,-0.84096605,-1.8931531,0.79010946,0.08373726,0.50999266
2000-02-20,-1.2660826,-2.2228937,0.5343451,-0.9662618,1.2822748
2000-02-21,-1.141919,-2.0258663,-0.26487094,-0.13700539,0.71509
2000-02-22,-1.129379,-0.8449142,1.0516777,-1.4158229,-0.0073761167
2000-02-23,-0.1255598,-1.8567781,0.14227816,-1.6835918,0.47190967
2000-02-24,-2.48962,-2.09004,1.4566922,-0.1711779,-1.8044258
2000-02-25,-2.2187304,-3.585913,2.2872808,0.08242713,3.6469162
2000-02-26,-3.5760882,-0.45128453,-0.21288088,0.53464836,0.9167338
2000-02-27,-2.7879102,0.93284714,-1.2907507,1.0947102,1.0905504
2000-02-28,-0.15320837,0.6966972,-2.4323018,-1.1080614,0.050357908
2000-02-29,-0.45494005,0.26819432,-0.8230484,-0.7472436,-2.5052311
2000-03-01,-0.5523193,-0.96854156,1.3364862,0.90924776,0.4997056
2000-03-02,-0.75181764,1.5461519,0.14028035,1.1217617,2.034236
2000-03-03,1.4392576,0.011192704,-3.3743267,0.0696653,1.3583009
2000-03-04,2.0351217,1.0763911,-0.31409734,1.6403487,-3.6620605
2000-03-05,1.6222703,1.7785015,-0.51409227,1.1526115,0.510152
2000-03-06,0.18757822,1.9618108,0.3946724,-0.6217543,-0.62502116
2000-03-07,2.246413,0.2879925,0.4760703,-1.2165172,-0.0006008327
2000-03-08,2.9074214,0.17862321,-0.31699017,-0.32086486,-1.9592566
2000-03-09,2.355552,1.1674167,1.601818,-0.5854749,-0.61233056
2000-03-10,3.514066,1.6191067,0.28512973,-0.03441357,-0.3764823
2000-03-11,3.4677877,0.5592678,0.7907715,-0.5430658,-0.19290513
2000-03-12,2.5259492,-0.3194151,2.1605308,-1.5552617,0.39514235
2000-03-13,3.144932,-1.9983029,3.8201673,-1.5373652,-0.22575027
2000-03-14,1.1897019,-2.9113882,2.4630644,-0.007952106,2.1028187
2000-03-15,1.3723776,-1.8138574,1.8356323,0.069677435,2.0770574
2000-03-16,3.1434805,-1.3836871,2.3218617,0.62132126,0.5055785
2000-03-17,3.4438057,-0.3797081,3.5954595,0.5337782,3.0146048
2000-03-18,4.0567126,0.19870208,1.871459,-0.1556647,0.362102
2000-03-19,2.4080486,-0.006142207,2.4495344,-0.09382271,0.68282163
2000-03-20,1.8013216,0.14582139,4.0075984,2.1686826,-0.04114568
2000-03-21,1.827947,0.067634895,-0.13748126,2.6160307,2.2839005
2000-03-22,0.11658661,1.8313245,0.44996524,1.76855,0.27344868
2000-03-23,0.97198325,1.4941678,-0.5344741,1.9807273,2.0040462
2000-03-24,1.1094868,0.106714375,-1.4561824,0.9220476,-0.2857776
2000-03-25,-0.9434742,0.12948436,0.8901948,1.9733685,-0.018365407
2000-03-26,-1.7603037,1.6692997,-0.8866449,1.8734807,1.8134215
2000-03-27,-2.2409556,0.81890184,-1.9836547,1.8198314,1.3278842
2000-03-28,0.15323564,0.70393944,-3.4353554,1.4795169,-1.4928452
2000-03-29,-1.6901093,2.1208558,-1.639816,1.6715775,-0.8012086
2000-03-30,-0.378563,-0.40986037,-2.1707945,1.3981564,0.8426961
2000-03-31,-1.5180258,-0.6236854,0.09366739,-0.40968406,1.243641
2000-04-01,-0.44205543,0.711694,1.4241419,0.641379,0.07152165
2000-04-02,1.3294563,0.10222215,0.037304398,0.9941027,0.82342136
2000-04-03,-1.0608484,-0.3468322,0.2796858,0.59408796,-0.08992441
2000-04-04,-0.5650327,1.6867461,2.5007951,0.44330066,1.9239833
