date,Y0,Y1,Y2,Y3,Y4,Y5
2000-01-01,-0.52868646,0.81792545,-2.5138464,2.9150498,-1.3449376,2.689257
2000-01-02,-1.0524207,-0.69890726,-2.1919162,1.0946244,-1.7934599,-0.0046442985
2000-01-03,-0.6022534,-1.8190354,-0.19471109,0.22128445,-0.65040934,1.0797656
2000-01-04,-2.3369093,-0.17575014,-2.337686,-2.3852098,0.15808035,-1.2126592
2000-01-05,-1.3193562,0.6269572,-4.4628234,1.4772316,0.6647602,-1.5640959
2000-01-06,0.6688096,2.6246865,-5.1742916,4.6602426,-0.097215876,2.3363776
2000-01-07,2.2164533,2.0487309,-5.4316173,5.6700573,0.28223878,2.795341
2000-01-08,2.3192043,1.2341449,-3.7013178,5.9537377,0.046346255,5.537656
2000-01-09,1.7725995,0.7155068,-1.7852273,3.5001738,-0.82775563,3.4283082
2000-01-10,0.52297515,0.534519,-0.6825528,0.11223303,-0.50761503,1.064852
2000-01-11,1.082262,-1.2797726,-0.91917175,1.5777127,-2.077169,1.1584098
2000-01-12,0.2664503,-0.95663244,-0.21933678,-1.3171421,-1.1484798,-1.3463188
2000-01-13,0.050154224,0.6291346,0.4772873,0.9759318,-0.25647107,-0.29522434
2000-01-14,-1.4127514,2.1241336,-0.6696925,0.1763035,-1.3986541,-0.147364
2000-01-15,0.3799122,0.81913733,-1.6585413,1.515866,-0.59323645,-0.83643943
2000-01-16,-1.6933755,1.2718228,-2.4587932,0.83187187,0.14725444,1.9586598
2000-01-17,0.41821012,-0.34475213,-3.375265,1.4260175,0.9440364,2.1118245
2000-01-18,0.07754367,-1.9780337,-2.8805976,2.9768426,1.6865494,2.295809
2000-01-19,0.6273078,-0.8660222,-3.825958,1.0739982,0.3586397,2.657594
2000-01-20,-0.6508658,0.70310664,-2.5112681,3.7619178,1.9116049,1.1638418
2000-01-21,-1.2594697,2.2185848,-4.230579,3.8182285,-0.034315635,3.3841221
2000-01-22,-0.5918696,4.04198,-2.3313663,6.584849,-1.2883059,3.1556914
2000-01-23,0.49864453,3.1108792,-1.0992401,2.8915431,-1.3597671,0.85617614
2000-01-24,0.39830297,1.2872849,0.55995667,0.69230783,-1.0964165,-0.4151253
2000-01-25,-1.4117888,0.9609321,0.9626303,1.3610537,-0.5421032,-0.8682608
2000-01-26,-2.4192746,1.562635,-0.19408152,-0.5119956,0.30143663,-0.9761351
2000-01-27,0.11453718,1.4669324,-0.9332556,2.3739095,1.4364376,1.0272993
2000-01-28,-0.8848575,1.6406997,-1.8105197,2.406121,0.5930369,0.26638484
2000-01-29,-2.3682253,1.906139,-2.459341,2.8128343,0.9351552,0.9694534
2000-01-30,-0.26642293,1.562207,-2.5042274,4.1443563,3.0457737,5.033283
2000-01-31,0.23725577,1.2160574,-4.5180397,2.474525,0.14184657,4.8395667
2000-02-01,0.961126,-0.9591273,-2.5367887,3.2866626,0.6889328,1.6099519
2000-02-02,2.1292496,-0.77440304,-1.6283951,2.4554522,0.6371472,0.53896827
2000-02-03,2.119911,1.2378112,-0.91028273,2.5094342,-0.48850235,1.0555457
2000-02-04,1.3453543,0.35806513,0.98744494,0.90255123,-0.74501336,0.9508312
2000-02-05,-0.28122026,-1.5777761,1.016292,-0.9243597,-2.1559837,-1.9008816
2000-02-06,0.60542876,-1.938493,0.43593657,-0.022684723,-0.95615923,-1.9373165
2000-02-07,0.28535354,-0.3344211,-0.09848558,-2.3881326,-0.88345516,0.21857747
2000-02-08,0.25795674,0.9525478,-1.5426308,-0.97265327,0.38519427,-2.1872964
2000-02-09,1.2183273,-0.059390306,-1.2849625,2.170846,-0.5458834,0.86656535
2000-02-10,-1.1205738,1.1850529,1.1457043,0.93711257,0.117464505,0.28569543
2000-02-11,-1.4145594,1.1803924,1.1371586,0.48944873,-0.53454185,-0.3920408
2000-02-12,-2.3118424,-0.123804905,0.1030585,1.0414504,-0.4810125,-1.3283542
2000-02-13,-1.7074451,0.8838347,-1.336876,-0.9969762,0.37184036,-0.09977275
2000-02-14,-2.0543623,1.4385134,-2.3667605,0.7127561,-1.848503,2.574998
2000-02-15,-3.4344385,0.28814644,-2.9757304,3.4871585,-1.6839176,-1.8266444
2000-02-16,-3.2666762,-0.9596336,-3.591653,2.1647475,-1.0184368,1.9272231
2000-02-17,-3.797439,-1.3555572,-2.3931212,2.6538637,0.33810502,0.12515022
2000-02-18,-3.7396033,-1.2899725,-3.4463549,0.4629648,1.111155,0.4493621
2000-02-19,-2.7649555,-1.9684312,-2.344642,1.9046936,0.09099467,1.5123492
2000-02-20,-2.8068683,-2.3239121,-2.2875047,0.8157104,0.8749256,0.745099
2000-02-21,-3.6549237,-3.2371244,-4.501483,0.20806685,2.0760067,0.12104492
2000-02-22,-3.4670606,-3.2174664,-4.3392267,1.6822867,0.1837102,1.2773628
2000-02-23,-2.6687787,-1.1334494,-4.443016,0.82382524,1.2165016,2.4099174
2000-02-24,-1.6261779,0.06504579,-3.688224,3.4117053,0.467083,2.876146
2000-02-25,-1.350444,-1.3970001,-2.7975805,2.77908,1.035701,3.4333034
2000-02-26,-0.7479315,-0.613974,-3.9492044,1.8614392,1.5754817,3.353779
2000-02-27,-0.036861777,-0.3054106,-3.6423504,2.1224248,1.2828352,2.4062803
2000-02-28,1.5254583,-0.28883737,-2.0274236,2.7401562,0.3623707,1.3722593
2000-02-29,-0.3802843,-1.0151012,-0.84565496,1.6653631,-0.40663204,3.0054302
2000-03-01,0.19350365,0.38158754,-1.425025,-1.1473248,1.3281599,0.90168715
2000-03-02,0.47219104,-0.07834907,-0.029003322,1.4560579,2.7712603,1.618812
2000-03-03,-0.37479347,-0.40133536,0.36933506,-0.94525117,1.4013091,2.5989223
2000-03-04,0.39312094,0.46060807,-0.86280584,-0.88313264,0.6789866,-0.8478997
2000-03-05,-0.9778017,1.2680879,-1.8103929,-0.17493604,1.722946,-1.3632479
2000-03-06,0.78819704,0.36605692,-1.0110502,1.6405268,0.63351077,0.6351404
2000-03-07,1.9888617,-0.6976004,0.9348566,0.6822252,-1.347726,-0.9484921
2000-03-08,2.0867753,-1.2580081,1.4373348,-1.99878,0.059908003,-0.37771818
2000-03-09,-0.48118865,-2.501187,2.2936535,-0.49709773,0.7057186,-2.4235282
2000-03-10,-0.10946697,-4.0124674,2.3304605,-1.09367,1.2718357,0.46485794
2000-03-11,-0.20342109,-3.389426,1.3120075,-3.7528713,0.58333874,-1.5264523
